Product,State,Quantity
Spice and Herbs,Ontario,8
Spice and Herbs,,4
Spice and Herbs,KA,5
Spice and Herbs,GJ,3
Spoons,UP,6
Spoons,Ontario,8
Spoons,,4
Spoons,KA,3
Spoons,GJ,1
Stapler,PJ,5
Stapler,Ontario,8
Stapler,,3
Stapler,MP,3
Stapler,GJ,2
Stapler,AP,1
Stapler pins,UP,3
Stapler pins,PJ,1
Stapler pins,Ontario,8
Stapler pins,,6
Stapler pins,KA,1
Stapler pins,GJ,3
Sugar,PJ,5
Sugar,Ontario,8
Sugar,,5
Sugar,GJ,2
Sugar,CH,3
T short,UP,4
T short,TN,1
T short,Ontario,7
T short,,3
T short,MP,2
T short,KA,4
T short,GJ,1
T short,DL,1
Tylenol,TN,3
Tylenol,Ontario,7
Tylenol,,4
Tylenol,KA,1
Tylenol,GJ,6
Tylenol,DL,2
Wheat Bread,UP,1
Wheat Bread,TN,1
Wheat Bread,Ontario,7
Wheat Bread,,4
Wheat Bread,KA,1
Wheat Bread,GJ,9
Yogurt,UP,4
Yogurt,PJ,2
Yogurt,Ontario,7
Yogurt,,5
Yogurt,KA,2
Yogurt,AS,3
